query_id,variant,baseline,predicted_doc_id,gold_doc_id,schema_hit,n_expected_scalar,n_filled,param_coverage,type_match,exact5,exact20,key_overlap
nlp4lp_test_0,orig,tfidf_optimization_role_repair,nlp4lp_test_0,nlp4lp_test_0,1,5,4,0.8,1.0,0.5,0.5,1.0
nlp4lp_test_1,orig,tfidf_optimization_role_repair,nlp4lp_test_1,nlp4lp_test_1,1,2,2,1.0,1.0,0.5,0.5,1.0
nlp4lp_test_2,orig,tfidf_optimization_role_repair,nlp4lp_test_2,nlp4lp_test_2,1,8,6,0.75,1.0,0.3333333333333333,0.6666666666666666,1.0
nlp4lp_test_3,orig,tfidf_optimization_role_repair,nlp4lp_test_3,nlp4lp_test_3,1,7,7,1.0,0.7142857142857143,0.2857142857142857,0.2857142857142857,1.0
nlp4lp_test_4,orig,tfidf_optimization_role_repair,nlp4lp_test_41,nlp4lp_test_4,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_5,orig,tfidf_optimization_role_repair,nlp4lp_test_5,nlp4lp_test_5,1,10,7,0.7,0.7142857142857143,0.14285714285714285,0.14285714285714285,1.0
nlp4lp_test_6,orig,tfidf_optimization_role_repair,nlp4lp_test_6,nlp4lp_test_6,1,8,8,1.0,0.5,0.125,0.25,1.0
nlp4lp_test_7,orig,tfidf_optimization_role_repair,nlp4lp_test_7,nlp4lp_test_7,1,8,8,1.0,0.75,0.125,0.25,1.0
nlp4lp_test_8,orig,tfidf_optimization_role_repair,nlp4lp_test_8,nlp4lp_test_8,1,3,3,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0
nlp4lp_test_9,orig,tfidf_optimization_role_repair,nlp4lp_test_9,nlp4lp_test_9,1,2,2,1.0,0.5,0.0,0.0,1.0
nlp4lp_test_10,orig,tfidf_optimization_role_repair,nlp4lp_test_10,nlp4lp_test_10,1,8,6,0.75,1.0,0.5,0.5,1.0
nlp4lp_test_11,orig,tfidf_optimization_role_repair,nlp4lp_test_11,nlp4lp_test_11,1,8,6,0.75,1.0,0.5,0.6666666666666666,1.0
nlp4lp_test_12,orig,tfidf_optimization_role_repair,nlp4lp_test_260,nlp4lp_test_12,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_13,orig,tfidf_optimization_role_repair,nlp4lp_test_13,nlp4lp_test_13,1,13,12,0.9230769230769231,0.9166666666666666,0.3333333333333333,0.3333333333333333,1.0
nlp4lp_test_14,orig,tfidf_optimization_role_repair,nlp4lp_test_14,nlp4lp_test_14,1,5,1,0.2,1.0,0.0,0.0,1.0
nlp4lp_test_15,orig,tfidf_optimization_role_repair,nlp4lp_test_15,nlp4lp_test_15,1,8,7,0.875,1.0,0.2857142857142857,0.5714285714285714,1.0
nlp4lp_test_16,orig,tfidf_optimization_role_repair,nlp4lp_test_16,nlp4lp_test_16,1,8,8,1.0,0.75,0.125,0.125,1.0
nlp4lp_test_17,orig,tfidf_optimization_role_repair,nlp4lp_test_17,nlp4lp_test_17,1,9,6,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0
nlp4lp_test_18,orig,tfidf_optimization_role_repair,nlp4lp_test_18,nlp4lp_test_18,1,2,2,1.0,0.5,0.0,0.0,1.0
nlp4lp_test_19,orig,tfidf_optimization_role_repair,nlp4lp_test_19,nlp4lp_test_19,1,4,4,1.0,0.5,0.0,0.0,1.0
nlp4lp_test_20,orig,tfidf_optimization_role_repair,nlp4lp_test_20,nlp4lp_test_20,1,6,4,0.6666666666666666,1.0,0.25,0.25,1.0
nlp4lp_test_21,orig,tfidf_optimization_role_repair,nlp4lp_test_21,nlp4lp_test_21,1,5,5,1.0,0.6,0.6,0.6,1.0
nlp4lp_test_22,orig,tfidf_optimization_role_repair,nlp4lp_test_22,nlp4lp_test_22,1,3,3,1.0,0.6666666666666666,0.0,0.0,1.0
nlp4lp_test_23,orig,tfidf_optimization_role_repair,nlp4lp_test_23,nlp4lp_test_23,1,3,3,1.0,0.6666666666666666,0.0,0.0,1.0
nlp4lp_test_24,orig,tfidf_optimization_role_repair,nlp4lp_test_122,nlp4lp_test_24,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_25,orig,tfidf_optimization_role_repair,nlp4lp_test_25,nlp4lp_test_25,1,2,2,1.0,1.0,0.0,0.0,1.0
nlp4lp_test_26,orig,tfidf_optimization_role_repair,nlp4lp_test_26,nlp4lp_test_26,1,8,5,0.625,1.0,0.4,0.4,1.0
nlp4lp_test_27,orig,tfidf_optimization_role_repair,nlp4lp_test_27,nlp4lp_test_27,1,2,2,1.0,1.0,0.0,0.0,1.0
nlp4lp_test_28,orig,tfidf_optimization_role_repair,nlp4lp_test_28,nlp4lp_test_28,1,12,11,0.9166666666666666,0.9090909090909091,0.2727272727272727,0.36363636363636365,1.0
nlp4lp_test_29,orig,tfidf_optimization_role_repair,nlp4lp_test_29,nlp4lp_test_29,1,6,5,0.8333333333333334,1.0,0.6,0.8,1.0
nlp4lp_test_30,orig,tfidf_optimization_role_repair,nlp4lp_test_30,nlp4lp_test_30,1,7,7,1.0,0.7142857142857143,0.42857142857142855,0.7142857142857143,1.0
nlp4lp_test_31,orig,tfidf_optimization_role_repair,nlp4lp_test_31,nlp4lp_test_31,1,2,2,1.0,1.0,0.5,0.5,1.0
nlp4lp_test_32,orig,tfidf_optimization_role_repair,nlp4lp_test_32,nlp4lp_test_32,1,8,8,1.0,0.875,0.5,0.75,1.0
nlp4lp_test_33,orig,tfidf_optimization_role_repair,nlp4lp_test_33,nlp4lp_test_33,1,8,7,0.875,0.8571428571428571,0.14285714285714285,0.2857142857142857,1.0
nlp4lp_test_34,orig,tfidf_optimization_role_repair,nlp4lp_test_34,nlp4lp_test_34,1,4,4,1.0,1.0,0.25,0.25,1.0
nlp4lp_test_35,orig,tfidf_optimization_role_repair,nlp4lp_test_35,nlp4lp_test_35,1,8,8,1.0,1.0,0.25,0.25,1.0
nlp4lp_test_36,orig,tfidf_optimization_role_repair,nlp4lp_test_10,nlp4lp_test_36,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_37,orig,tfidf_optimization_role_repair,nlp4lp_test_37,nlp4lp_test_37,1,2,2,1.0,1.0,0.0,0.0,1.0
nlp4lp_test_38,orig,tfidf_optimization_role_repair,nlp4lp_test_38,nlp4lp_test_38,1,9,9,1.0,0.8888888888888888,0.5555555555555556,0.5555555555555556,1.0
nlp4lp_test_39,orig,tfidf_optimization_role_repair,nlp4lp_test_39,nlp4lp_test_39,1,6,4,0.6666666666666666,0.75,0.0,0.0,1.0
nlp4lp_test_40,orig,tfidf_optimization_role_repair,nlp4lp_test_40,nlp4lp_test_40,1,8,8,1.0,1.0,0.375,0.625,1.0
nlp4lp_test_41,orig,tfidf_optimization_role_repair,nlp4lp_test_41,nlp4lp_test_41,1,3,3,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0
nlp4lp_test_42,orig,tfidf_optimization_role_repair,nlp4lp_test_42,nlp4lp_test_42,1,8,8,1.0,1.0,0.0,0.0,1.0
nlp4lp_test_43,orig,tfidf_optimization_role_repair,nlp4lp_test_43,nlp4lp_test_43,1,3,3,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0
nlp4lp_test_44,orig,tfidf_optimization_role_repair,nlp4lp_test_44,nlp4lp_test_44,1,4,4,1.0,0.75,0.0,0.0,1.0
nlp4lp_test_45,orig,tfidf_optimization_role_repair,nlp4lp_test_45,nlp4lp_test_45,1,9,9,1.0,0.7777777777777778,0.3333333333333333,0.4444444444444444,1.0
nlp4lp_test_46,orig,tfidf_optimization_role_repair,nlp4lp_test_46,nlp4lp_test_46,1,6,6,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0
nlp4lp_test_47,orig,tfidf_optimization_role_repair,nlp4lp_test_47,nlp4lp_test_47,1,5,4,0.8,1.0,0.25,0.25,1.0
nlp4lp_test_48,orig,tfidf_optimization_role_repair,nlp4lp_test_48,nlp4lp_test_48,1,7,7,1.0,0.7142857142857143,0.2857142857142857,0.2857142857142857,1.0
nlp4lp_test_49,orig,tfidf_optimization_role_repair,nlp4lp_test_49,nlp4lp_test_49,1,6,4,0.6666666666666666,1.0,0.5,0.5,1.0
nlp4lp_test_50,orig,tfidf_optimization_role_repair,nlp4lp_test_50,nlp4lp_test_50,1,8,8,1.0,0.875,0.25,0.375,1.0
nlp4lp_test_51,orig,tfidf_optimization_role_repair,nlp4lp_test_51,nlp4lp_test_51,1,3,3,1.0,1.0,0.0,0.0,1.0
nlp4lp_test_52,orig,tfidf_optimization_role_repair,nlp4lp_test_52,nlp4lp_test_52,1,6,6,1.0,0.8333333333333334,0.5,0.5,1.0
nlp4lp_test_53,orig,tfidf_optimization_role_repair,nlp4lp_test_53,nlp4lp_test_53,1,3,3,1.0,1.0,0.0,0.0,1.0
nlp4lp_test_54,orig,tfidf_optimization_role_repair,nlp4lp_test_54,nlp4lp_test_54,1,4,4,1.0,0.5,0.5,0.5,1.0
nlp4lp_test_55,orig,tfidf_optimization_role_repair,nlp4lp_test_55,nlp4lp_test_55,1,9,9,1.0,1.0,0.1111111111111111,0.3333333333333333,1.0
nlp4lp_test_56,orig,tfidf_optimization_role_repair,nlp4lp_test_56,nlp4lp_test_56,1,6,6,1.0,1.0,0.16666666666666666,0.3333333333333333,1.0
nlp4lp_test_57,orig,tfidf_optimization_role_repair,nlp4lp_test_57,nlp4lp_test_57,1,5,5,1.0,0.8,0.2,0.2,1.0
nlp4lp_test_58,orig,tfidf_optimization_role_repair,nlp4lp_test_58,nlp4lp_test_58,1,8,7,0.875,0.7142857142857143,0.2857142857142857,0.2857142857142857,1.0
nlp4lp_test_59,orig,tfidf_optimization_role_repair,nlp4lp_test_59,nlp4lp_test_59,1,6,6,1.0,0.8333333333333334,0.6666666666666666,0.6666666666666666,1.0
nlp4lp_test_60,orig,tfidf_optimization_role_repair,nlp4lp_test_60,nlp4lp_test_60,1,8,8,1.0,0.5,0.5,0.625,1.0
nlp4lp_test_61,orig,tfidf_optimization_role_repair,nlp4lp_test_61,nlp4lp_test_61,1,6,6,1.0,0.8333333333333334,0.0,0.0,1.0
nlp4lp_test_62,orig,tfidf_optimization_role_repair,nlp4lp_test_62,nlp4lp_test_62,1,6,6,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0
nlp4lp_test_63,orig,tfidf_optimization_role_repair,nlp4lp_test_63,nlp4lp_test_63,1,3,3,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0
nlp4lp_test_64,orig,tfidf_optimization_role_repair,nlp4lp_test_64,nlp4lp_test_64,1,4,4,1.0,0.75,0.0,0.0,1.0
nlp4lp_test_65,orig,tfidf_optimization_role_repair,nlp4lp_test_65,nlp4lp_test_65,1,9,9,1.0,1.0,0.5555555555555556,0.5555555555555556,1.0
nlp4lp_test_66,orig,tfidf_optimization_role_repair,nlp4lp_test_66,nlp4lp_test_66,1,6,6,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0
nlp4lp_test_67,orig,tfidf_optimization_role_repair,nlp4lp_test_67,nlp4lp_test_67,1,5,4,0.8,0.25,0.5,0.5,1.0
nlp4lp_test_68,orig,tfidf_optimization_role_repair,nlp4lp_test_68,nlp4lp_test_68,1,7,7,1.0,0.7142857142857143,0.14285714285714285,0.2857142857142857,1.0
nlp4lp_test_69,orig,tfidf_optimization_role_repair,nlp4lp_test_69,nlp4lp_test_69,1,3,3,1.0,0.6666666666666666,0.0,0.0,1.0
nlp4lp_test_70,orig,tfidf_optimization_role_repair,nlp4lp_test_70,nlp4lp_test_70,1,8,8,1.0,0.625,0.375,0.375,1.0
nlp4lp_test_71,orig,tfidf_optimization_role_repair,nlp4lp_test_71,nlp4lp_test_71,1,6,6,1.0,0.8333333333333334,0.16666666666666666,0.16666666666666666,1.0
nlp4lp_test_72,orig,tfidf_optimization_role_repair,nlp4lp_test_72,nlp4lp_test_72,1,3,3,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0
nlp4lp_test_73,orig,tfidf_optimization_role_repair,nlp4lp_test_73,nlp4lp_test_73,1,2,2,1.0,1.0,0.0,0.0,1.0
nlp4lp_test_74,orig,tfidf_optimization_role_repair,nlp4lp_test_74,nlp4lp_test_74,1,9,9,1.0,1.0,0.2222222222222222,0.2222222222222222,1.0
nlp4lp_test_75,orig,tfidf_optimization_role_repair,nlp4lp_test_75,nlp4lp_test_75,1,9,9,1.0,1.0,0.4444444444444444,0.5555555555555556,1.0
nlp4lp_test_76,orig,tfidf_optimization_role_repair,nlp4lp_test_76,nlp4lp_test_76,1,6,6,1.0,0.0,0.0,0.16666666666666666,1.0
nlp4lp_test_77,orig,tfidf_optimization_role_repair,nlp4lp_test_77,nlp4lp_test_77,1,5,5,1.0,0.8,0.0,0.0,1.0
nlp4lp_test_78,orig,tfidf_optimization_role_repair,nlp4lp_test_78,nlp4lp_test_78,1,7,7,1.0,0.7142857142857143,0.2857142857142857,0.5714285714285714,1.0
nlp4lp_test_79,orig,tfidf_optimization_role_repair,nlp4lp_test_79,nlp4lp_test_79,1,6,6,1.0,0.5,0.0,0.0,1.0
nlp4lp_test_80,orig,tfidf_optimization_role_repair,nlp4lp_test_80,nlp4lp_test_80,1,8,8,1.0,0.75,0.625,0.625,1.0
nlp4lp_test_81,orig,tfidf_optimization_role_repair,nlp4lp_test_81,nlp4lp_test_81,1,3,3,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0
nlp4lp_test_82,orig,tfidf_optimization_role_repair,nlp4lp_test_82,nlp4lp_test_82,1,6,6,1.0,0.6666666666666666,0.5,0.5,1.0
nlp4lp_test_83,orig,tfidf_optimization_role_repair,nlp4lp_test_83,nlp4lp_test_83,1,2,2,1.0,1.0,0.0,0.0,1.0
nlp4lp_test_84,orig,tfidf_optimization_role_repair,nlp4lp_test_84,nlp4lp_test_84,1,4,4,1.0,1.0,0.5,0.5,1.0
nlp4lp_test_85,orig,tfidf_optimization_role_repair,nlp4lp_test_85,nlp4lp_test_85,1,9,9,1.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,1.0
nlp4lp_test_86,orig,tfidf_optimization_role_repair,nlp4lp_test_86,nlp4lp_test_86,1,3,3,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0
nlp4lp_test_87,orig,tfidf_optimization_role_repair,nlp4lp_test_87,nlp4lp_test_87,1,5,5,1.0,0.8,0.0,0.0,1.0
nlp4lp_test_88,orig,tfidf_optimization_role_repair,nlp4lp_test_88,nlp4lp_test_88,1,7,7,1.0,0.7142857142857143,0.2857142857142857,0.2857142857142857,1.0
nlp4lp_test_89,orig,tfidf_optimization_role_repair,nlp4lp_test_89,nlp4lp_test_89,1,3,3,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0
nlp4lp_test_90,orig,tfidf_optimization_role_repair,nlp4lp_test_90,nlp4lp_test_90,1,9,9,1.0,0.8888888888888888,0.3333333333333333,0.3333333333333333,1.0
nlp4lp_test_91,orig,tfidf_optimization_role_repair,nlp4lp_test_91,nlp4lp_test_91,1,4,4,1.0,1.0,0.25,0.25,1.0
nlp4lp_test_92,orig,tfidf_optimization_role_repair,nlp4lp_test_92,nlp4lp_test_92,1,7,7,1.0,0.7142857142857143,0.0,0.2857142857142857,1.0
nlp4lp_test_93,orig,tfidf_optimization_role_repair,nlp4lp_test_93,nlp4lp_test_93,1,7,7,1.0,0.8571428571428571,0.42857142857142855,0.42857142857142855,1.0
nlp4lp_test_94,orig,tfidf_optimization_role_repair,nlp4lp_test_94,nlp4lp_test_94,1,5,4,0.8,1.0,0.25,0.25,1.0
nlp4lp_test_95,orig,tfidf_optimization_role_repair,nlp4lp_test_95,nlp4lp_test_95,1,3,3,1.0,1.0,0.0,0.0,1.0
nlp4lp_test_96,orig,tfidf_optimization_role_repair,nlp4lp_test_231,nlp4lp_test_96,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_97,orig,tfidf_optimization_role_repair,nlp4lp_test_97,nlp4lp_test_97,1,9,9,1.0,0.7777777777777778,0.1111111111111111,0.1111111111111111,1.0
nlp4lp_test_98,orig,tfidf_optimization_role_repair,nlp4lp_test_98,nlp4lp_test_98,1,5,4,0.8,1.0,0.25,0.25,1.0
nlp4lp_test_99,orig,tfidf_optimization_role_repair,nlp4lp_test_99,nlp4lp_test_99,1,3,3,1.0,1.0,0.0,0.0,1.0
nlp4lp_test_100,orig,tfidf_optimization_role_repair,nlp4lp_test_100,nlp4lp_test_100,1,9,9,1.0,0.5555555555555556,0.2222222222222222,0.2222222222222222,1.0
nlp4lp_test_101,orig,tfidf_optimization_role_repair,nlp4lp_test_101,nlp4lp_test_101,1,4,4,1.0,1.0,0.25,0.5,1.0
nlp4lp_test_102,orig,tfidf_optimization_role_repair,nlp4lp_test_102,nlp4lp_test_102,1,3,3,1.0,1.0,0.0,0.0,0.42857142857142855
nlp4lp_test_103,orig,tfidf_optimization_role_repair,nlp4lp_test_103,nlp4lp_test_103,1,7,6,0.8571428571428571,1.0,0.8333333333333334,0.8333333333333334,1.0
nlp4lp_test_104,orig,tfidf_optimization_role_repair,nlp4lp_test_104,nlp4lp_test_104,1,5,4,0.8,1.0,0.5,0.5,1.0
nlp4lp_test_105,orig,tfidf_optimization_role_repair,nlp4lp_test_105,nlp4lp_test_105,1,3,3,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0
nlp4lp_test_106,orig,tfidf_optimization_role_repair,nlp4lp_test_227,nlp4lp_test_106,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_107,orig,tfidf_optimization_role_repair,nlp4lp_test_107,nlp4lp_test_107,1,10,9,0.9,0.7777777777777778,0.2222222222222222,0.2222222222222222,1.0
