query_id,variant,method,schema_hit,schema_miss,n_expected_scalar,n_filled,full_coverage,all_types_correct,inst_ready,any_type_mismatch,any_slot_comparable,param_coverage,type_match,n_numeric_mentions,ambiguity_bucket,slot_count_bucket,predicted_doc_id,gold_doc_id,query_text_preview
nlp4lp_test_0,orig,tfidf,1,0,5,5,1,0,1,1,1,1.0000,0.8000,5,medium,4+,nlp4lp_test_0,nlp4lp_test_0,Mrs. Watson wants to invest in the real-estate market and has a total budget of at most $760000. She has two choices whi
nlp4lp_test_1,orig,tfidf,1,0,2,2,1,1,1,0,1,1.0000,1.0000,8,high,2,nlp4lp_test_1,nlp4lp_test_1,A breakfast joint makes two different sandwiches: a regular and a special. Both need eggs and bacon. Each regular sandwi
nlp4lp_test_2,orig,tfidf,1,0,8,7,0,0,1,1,1,0.8750,0.8571,10,high,4+,nlp4lp_test_2,nlp4lp_test_2,A cleaning company located in Edmonton wants to get the best exposure possible for promoting their new dishwashing deter
nlp4lp_test_3,orig,tfidf,1,0,7,7,1,0,1,1,1,1.0000,0.8571,7,high,4+,nlp4lp_test_3,nlp4lp_test_3,There is 1000 mg of gold available that is needed to make long and short cables. Long cables require 10 mg of gold while
nlp4lp_test_4,orig,tfidf,0,1,0,0,1,0,0,0,0,0.0000,0.0000,5,medium,0,nlp4lp_test_41,nlp4lp_test_4,A store employs senior citizens who earn $500 per week and young adults who earn $750 per week. The store must keep the 
nlp4lp_test_5,orig,tfidf,1,0,10,10,1,0,1,1,1,1.0000,0.8000,8,high,4+,nlp4lp_test_5,nlp4lp_test_5,"A company is deciding where to promote their product. Some options include z-tube, soorchle engine, and wassa advertisem"
nlp4lp_test_6,orig,tfidf,1,0,8,8,1,0,1,1,1,1.0000,0.8750,8,high,4+,nlp4lp_test_6,nlp4lp_test_6,"A chair produced by Elm Furniture yields a profit of $43, while every dresser yields a $52 profit. Each week, 17 gallons"
nlp4lp_test_7,orig,tfidf,1,0,8,8,1,1,1,0,1,1.0000,1.0000,8,high,4+,nlp4lp_test_7,nlp4lp_test_7,"A farmer wants to mix his animal feeds, Feed A and Feed B, in such a way that the mixture will contain a minimum of 30 u"
nlp4lp_test_8,orig,tfidf,1,0,3,3,1,1,1,0,1,1.0000,1.0000,8,high,3,nlp4lp_test_8,nlp4lp_test_8,An artisan makes two types of terracotta jars: a thin jar and a stubby jar. Each thin jar requires 50 minutes of shaping
nlp4lp_test_9,orig,tfidf,1,0,2,2,1,1,1,0,1,1.0000,1.0000,8,high,2,nlp4lp_test_9,nlp4lp_test_9,"A grocery store wants to liquidate its stock of 10 apples, 20 bananas, and 80 grapes. Given past experience, the store k"
nlp4lp_test_10,orig,tfidf,1,0,8,6,0,1,0,0,1,0.7500,1.0000,7,high,4+,nlp4lp_test_10,nlp4lp_test_10,A bakery uses a stand-mixer and a slow bake oven to make bread and cookies. Each machine can run for at most 3000 hours 
nlp4lp_test_11,orig,tfidf,1,0,8,8,1,0,1,1,1,1.0000,0.8750,7,high,4+,nlp4lp_test_11,nlp4lp_test_11,A glass factory makes two types of glass panes: a regular glass pane and a tempered glass pane. Both require time on a h
nlp4lp_test_12,orig,tfidf,0,1,0,0,1,0,0,0,0,0.0000,0.0000,8,high,0,nlp4lp_test_260,nlp4lp_test_12,A souvenir shop makes wooden elephants and tigers with plastic ornaments. Each elephant requires 50 grams of wood and 20
nlp4lp_test_13,orig,tfidf,1,0,13,12,0,1,1,0,1,0.9231,1.0000,12,high,4+,nlp4lp_test_13,nlp4lp_test_13,"An art store makes large and small art pieces. The store has available 100 units of paint, 50 units of glitter, and 70 u"
nlp4lp_test_14,orig,tfidf,1,0,5,1,0,1,0,0,1,0.2000,1.0000,4,medium,4+,nlp4lp_test_14,nlp4lp_test_14,"My family has decided to invest in real state for the first time. Currently, they have $600,000 to invest, some in apart"
nlp4lp_test_15,orig,tfidf,1,0,8,8,1,0,1,1,1,1.0000,0.8750,8,high,4+,nlp4lp_test_15,nlp4lp_test_15,My grandma is required to take two medicines Z1 and D3 everyday. She needs to take at least 5 grams of Z1 and 10 grams o
nlp4lp_test_16,orig,tfidf,1,0,8,8,1,1,1,0,1,1.0000,1.0000,8,high,4+,nlp4lp_test_16,nlp4lp_test_16,A hobbyist makes model trains and planes using wood and paint. A model train requires 3 units of wood and 3 units of pai
nlp4lp_test_17,orig,tfidf,1,0,9,6,0,0,0,1,1,0.6667,0.8333,9,high,4+,nlp4lp_test_17,nlp4lp_test_17,An electronics store wants to optimize how many phones and laptops are enough to keep in inventory. A phone will earn th
nlp4lp_test_18,orig,tfidf,1,0,2,2,1,1,1,0,1,1.0000,1.0000,8,high,2,nlp4lp_test_18,nlp4lp_test_18,"A candy store mixes regular candy and sour candy to prepare two products, regular mix and sour surprise mix. Each kilogr"
nlp4lp_test_19,orig,tfidf,1,0,4,4,1,1,1,0,1,1.0000,1.0000,9,high,4+,nlp4lp_test_19,nlp4lp_test_19,A suspicious factory has 100 sq. feet of space. It makes bootleg phones and laptops. Phones require 2 hours of labor and
nlp4lp_test_20,orig,tfidf,1,0,6,4,0,1,0,0,1,0.6667,1.0000,6,high,4+,nlp4lp_test_20,nlp4lp_test_20,A electronics store sells premium desktops with more power as well as regular desktops for everyday use. Each premium de
nlp4lp_test_21,orig,tfidf,1,0,5,5,1,0,0,1,1,1.0000,0.6000,6,high,4+,nlp4lp_test_21,nlp4lp_test_21,"A car manufacturer makes two versions of the same car, a regular model and a premium model. They make x1 regular models "
nlp4lp_test_22,orig,tfidf,1,0,3,3,1,1,1,0,1,1.0000,1.0000,8,high,3,nlp4lp_test_22,nlp4lp_test_22,You are designing an office space with two types of desks: long desks and short desks. You can spend at most $2000. Long
nlp4lp_test_23,orig,tfidf,1,0,3,3,1,1,1,0,1,1.0000,1.0000,8,high,3,nlp4lp_test_23,nlp4lp_test_23,Ayse produces a plant growth compound by mixing two types of fertilizer: C and Y. This growth compound must contain at l
nlp4lp_test_24,orig,tfidf,0,1,0,0,1,0,0,0,0,0.0000,0.0000,8,high,0,nlp4lp_test_122,nlp4lp_test_24,"Sleep inducing medicine and anti-inflammatory medicine is found in two pills, pill A and pill B. One pill A contains 3 u"
nlp4lp_test_25,orig,tfidf,1,0,2,2,1,1,1,0,1,1.0000,1.0000,11,high,2,nlp4lp_test_25,nlp4lp_test_25,A car manufacturer makes two types of car oils: Oil Max and Oil Max Pro. A container of Oil Max contains 46 grams of sub
nlp4lp_test_26,orig,tfidf,1,0,8,5,0,1,0,0,1,0.6250,1.0000,7,high,4+,nlp4lp_test_26,nlp4lp_test_26,A food truck owner can spend at most $20000 on mangos and guavas. A mango costs the food truck owner $5 and a guava cost
nlp4lp_test_27,orig,tfidf,1,0,2,2,1,1,1,0,1,1.0000,1.0000,11,high,2,nlp4lp_test_27,nlp4lp_test_27,A nutritionist is making a special vitamin mix using two drinks: A and B. The vitamin mix must contain at least 150 unit
nlp4lp_test_28,orig,tfidf,1,0,12,11,0,0,1,1,1,0.9167,0.9091,11,high,4+,nlp4lp_test_28,nlp4lp_test_28,"An ice cream store makes chocolate and vanilla ice cream by the gallon. In a week, they must make at least 5 gallons of "
nlp4lp_test_29,orig,tfidf,1,0,6,5,0,0,1,1,1,0.8333,0.8000,5,medium,4+,nlp4lp_test_29,nlp4lp_test_29,Mark has 50 acres of land available to grow potatoes and cucumbers that he sells at a farmers' market. He must grow at l
nlp4lp_test_30,orig,tfidf,1,0,7,7,1,0,0,1,1,1.0000,0.7143,7,high,4+,nlp4lp_test_30,nlp4lp_test_30,A flooring company produces engineered hardwood and vinyl planks. Their sales forecasts show an expected demand of at le
nlp4lp_test_31,orig,tfidf,1,0,2,2,1,1,1,0,1,1.0000,1.0000,11,high,2,nlp4lp_test_31,nlp4lp_test_31,"A berry farmer has two farms, an old and new farm, where he grows raspberries, blueberries, and strawberries. He has a c"
nlp4lp_test_32,orig,tfidf,1,0,8,8,1,0,1,1,1,1.0000,0.8750,8,high,4+,nlp4lp_test_32,nlp4lp_test_32,Jordan is a chef. He wants to design a diet consisting of Kebabs and Rice.  Assume that each serving of Rice costs $3 an
nlp4lp_test_33,orig,tfidf,1,0,8,7,0,0,1,1,1,0.8750,0.8571,8,high,4+,nlp4lp_test_33,nlp4lp_test_33,A company sells custom scooters and bikes for customers. The profit per scooter is $200 and the profit per bike is $300.
nlp4lp_test_34,orig,tfidf,1,0,4,4,1,1,1,0,1,1.0000,1.0000,9,high,4+,nlp4lp_test_34,nlp4lp_test_34,John has a 300 acre berry farm on which to plant blueberries and raspberries. John has $10000 to spend on watering and 5
nlp4lp_test_35,orig,tfidf,1,0,8,8,1,0,0,1,1,1.0000,0.7500,8,high,4+,nlp4lp_test_35,nlp4lp_test_35,A man  only eats vegetable and fruits. A serving of vegetables contains 2 units of vitamins and 3 units of minerals. A s
nlp4lp_test_36,orig,tfidf,0,1,0,0,1,0,0,0,0,0.0000,0.0000,8,high,0,nlp4lp_test_10,nlp4lp_test_36,A bakery bakes bagels and croissants. A batch of bagels can be made using 2 hours of oven time and 0.25 hours of pastry 
nlp4lp_test_37,orig,tfidf,1,0,2,2,1,1,1,0,1,1.0000,1.0000,14,high,2,nlp4lp_test_37,nlp4lp_test_37,"A teddy bear company produces three different colored bears: black, white, and brown. These bears are made in two differ"
nlp4lp_test_38,orig,tfidf,1,0,9,9,1,0,1,1,1,1.0000,0.8889,9,high,4+,nlp4lp_test_38,nlp4lp_test_38,A farmer has 500 acres of land to grow turnips and pumpkins. Turnips require 50 minutes of watering and $80 worth of pes
nlp4lp_test_39,orig,tfidf,1,0,6,4,0,0,0,1,1,0.6667,0.7500,6,high,4+,nlp4lp_test_39,nlp4lp_test_39,"A school employs staff and substitute teachers. Per shift, staff teachers work 6 hours and get paid $300. Per shift, sub"
nlp4lp_test_40,orig,tfidf,1,0,8,8,1,1,1,0,1,1.0000,1.0000,8,high,4+,nlp4lp_test_40,nlp4lp_test_40,"A gem factory has two drills, a high intensity one and a low intensity one. Each day, the high intensity drill can proce"
nlp4lp_test_41,orig,tfidf,1,0,3,3,1,0,0,1,1,1.0000,0.3333,6,high,3,nlp4lp_test_41,nlp4lp_test_41,"A sandwich company can open two types of stores, a dine-in place and a food-truck. A dine-in place can make 100 sandwich"
nlp4lp_test_42,orig,tfidf,1,0,8,8,1,1,1,0,1,1.0000,1.0000,8,high,4+,nlp4lp_test_42,nlp4lp_test_42,"There are two processes, process A and process B, to plate a coin with gold. Process A requires 3 units of gold, 2 wires"
nlp4lp_test_43,orig,tfidf,1,0,3,3,1,1,1,0,1,1.0000,1.0000,6,high,3,nlp4lp_test_43,nlp4lp_test_43,"A woodshop can purchase two types of saws, a miter saw and a circular saw. A miter saw can cut 50 planks of wood and pro"
nlp4lp_test_44,orig,tfidf,1,0,4,4,1,0,0,1,1,1.0000,0.7500,9,high,4+,nlp4lp_test_44,nlp4lp_test_44,A farmer has 200 acres of land on which he must process hay using either a windrower or hay harvester. For each acre of 
nlp4lp_test_45,orig,tfidf,1,0,9,9,1,0,0,1,1,1.0000,0.7778,9,high,4+,nlp4lp_test_45,nlp4lp_test_45,A new fast food place makes wraps and platters. Each wrap requires 5 units of meat and 3 units of rice. Each platter req
nlp4lp_test_46,orig,tfidf,1,0,6,6,1,0,0,1,1,1.0000,0.6667,6,high,4+,nlp4lp_test_46,nlp4lp_test_46,"An amusement park is installing ticket machines, both cash-based and card-only machines. A cash-based machine can proces"
nlp4lp_test_47,orig,tfidf,1,0,5,4,0,0,0,1,1,0.8000,0.7500,4,medium,4+,nlp4lp_test_47,nlp4lp_test_47,A honey farmer sells his honey in glass and plastic jars. A glass jar can hold 250 ml of honey while a plastic jar can h
nlp4lp_test_48,orig,tfidf,1,0,7,7,1,0,0,1,1,1.0000,0.7143,7,high,4+,nlp4lp_test_48,nlp4lp_test_48,A bubble tea shop sells mango and lychee bubble tea. Each mango bubble tea requires 4 units of mango juice and 8 units o
nlp4lp_test_49,orig,tfidf,1,0,6,4,0,1,0,0,1,0.6667,1.0000,6,high,4+,nlp4lp_test_49,nlp4lp_test_49,A city employs seasonal and permanent snow removers. A seasonal snow remover works 6 hours per shift and gets paid $120.
nlp4lp_test_50,orig,tfidf,1,0,8,8,1,0,1,1,1,1.0000,0.8750,8,high,4+,nlp4lp_test_50,nlp4lp_test_50,"A high rise building is buying two types of furnaces, a new model and an old model. A new model furnace can heat 10 apar"
nlp4lp_test_51,orig,tfidf,1,0,3,3,1,1,1,0,1,1.0000,1.0000,6,high,3,nlp4lp_test_51,nlp4lp_test_51,A cell phone company is building rural and urban factories. A rural factory can make 100 phones per day and requires 8 m
nlp4lp_test_52,orig,tfidf,1,0,6,6,1,1,1,0,1,1.0000,1.0000,6,high,4+,nlp4lp_test_52,nlp4lp_test_52,"An ice cream store can buy two machines, a counter-top sized one and a fridge sized one, to make ice cream. The counter-"
nlp4lp_test_53,orig,tfidf,1,0,3,3,1,1,1,0,1,1.0000,1.0000,8,high,3,nlp4lp_test_53,nlp4lp_test_53,"There are two specialized containers, a small and large one, that are used to make a pharmaceutical paste. The small con"
nlp4lp_test_54,orig,tfidf,1,0,4,4,1,1,1,0,1,1.0000,1.0000,9,high,4+,nlp4lp_test_54,nlp4lp_test_54,"An oil and gas company operates on 300 acres of land where they use oil wells of small and large size. Per acre of land,"
nlp4lp_test_55,orig,tfidf,1,0,9,9,1,1,1,0,1,1.0000,1.0000,9,high,4+,nlp4lp_test_55,nlp4lp_test_55,A bakery makes almond and pistachio croissants. An almond croissant requires 5 units of butter and 8 units of flour. A p
nlp4lp_test_56,orig,tfidf,1,0,6,6,1,1,1,0,1,1.0000,1.0000,6,high,4+,nlp4lp_test_56,nlp4lp_test_56,A burger chain is buying both gas and electric grills to make burger patties. A gas grill can cook 20 patties per minute
nlp4lp_test_57,orig,tfidf,1,0,5,5,1,0,1,1,1,1.0000,0.8000,5,medium,4+,nlp4lp_test_57,nlp4lp_test_57,A cough syrup company sells cough syrup in kids and adult size bottles. A kids size bottle can hold 100 ml of cough syru
nlp4lp_test_58,orig,tfidf,1,0,8,7,0,0,0,1,1,0.8750,0.7143,7,high,4+,nlp4lp_test_58,nlp4lp_test_58,A bakery makes fiber supplemented brownies and lemon squares. Each brownie requires 5 units of chocolate mix and 4 units
nlp4lp_test_59,orig,tfidf,1,0,6,6,1,1,1,0,1,1.0000,1.0000,6,high,4+,nlp4lp_test_59,nlp4lp_test_59,A clinic employs nurses and pharmacists to deliver shots to patients. A nurse works 5 hours per shift while a pharmacist
nlp4lp_test_60,orig,tfidf,1,0,8,8,1,0,0,1,1,1.0000,0.7500,8,high,4+,nlp4lp_test_60,nlp4lp_test_60,"A laundromat can buy two types of washing machines, a top-loading model and a front-loading model. The top-loading model"
nlp4lp_test_61,orig,tfidf,1,0,6,6,1,0,1,1,1,1.0000,0.8333,6,high,4+,nlp4lp_test_61,nlp4lp_test_61,A bank can build small and large branches to serve their customers. A small branch can serve 50 customers per day and re
nlp4lp_test_62,orig,tfidf,1,0,6,6,1,0,0,1,1,1.0000,0.6667,6,high,4+,nlp4lp_test_62,nlp4lp_test_62,A shipping company can purchase regular and hybrid vans to make deliveries. A regular van can deliver 500 packages per d
nlp4lp_test_63,orig,tfidf,1,0,3,3,1,1,1,0,1,1.0000,1.0000,8,high,3,nlp4lp_test_63,nlp4lp_test_63,"In order to make carbon dioxide, wood is burned using two processes, with a catalyst and without a catalyst. The process"
nlp4lp_test_64,orig,tfidf,1,0,4,4,1,1,1,0,1,1.0000,1.0000,9,high,4+,nlp4lp_test_64,nlp4lp_test_64,A tea estate has available 500 acres of land and they need to pick the tea leaves either using a traditional machine or 
nlp4lp_test_65,orig,tfidf,1,0,9,9,1,1,1,0,1,1.0000,1.0000,9,high,4+,nlp4lp_test_65,nlp4lp_test_65,A grilled cheese shop sells a light and heavy grilled cheese sandwich. A light grilled cheese sandwich requires 2 slices
nlp4lp_test_66,orig,tfidf,1,0,6,6,1,0,0,1,1,1.0000,0.6667,6,high,4+,nlp4lp_test_66,nlp4lp_test_66,A post office is buying stamping machines and they can buy a dual or single model stamping machine. A dual model stampin
nlp4lp_test_67,orig,tfidf,1,0,5,4,0,0,0,1,1,0.8000,0.5000,4,medium,4+,nlp4lp_test_67,nlp4lp_test_67,A banana company sells their bananas in small and large crates. A small crate can hold 20 bananas while a large crate ca
nlp4lp_test_68,orig,tfidf,1,0,7,7,1,0,0,1,1,1.0000,0.7143,7,high,4+,nlp4lp_test_68,nlp4lp_test_68,A crepe store sells chocolate and peanut butter crepes. A chocolate crepe requires 3 units of chocolate spread and 6 uni
nlp4lp_test_69,orig,tfidf,1,0,3,3,1,1,1,0,1,1.0000,1.0000,6,high,3,nlp4lp_test_69,nlp4lp_test_69,A fire department employs regular and emergency fire fighters. A regular fire fighter works 10 hours per shift and earns
nlp4lp_test_70,orig,tfidf,1,0,8,8,1,0,0,1,1,1.0000,0.7500,8,high,4+,nlp4lp_test_70,nlp4lp_test_70,"A mall buys two types of hand sanitizer machines, a motion activated one and a manual one. The motion activated one can "
nlp4lp_test_71,orig,tfidf,1,0,6,6,1,0,1,1,1,1.0000,0.8333,6,high,4+,nlp4lp_test_71,nlp4lp_test_71,"A hot dog company can build two types of butcher shops, a small shop and a large shop. A small shop can make 30 hot dogs"
nlp4lp_test_72,orig,tfidf,1,0,3,3,1,1,1,0,1,1.0000,1.0000,10,high,3,nlp4lp_test_72,nlp4lp_test_72,"An airport buys two types of vehicles, a 4-wheeler and 3-wheeler, to help move luggage. A 4-wheeler vehicle can move 60 "
nlp4lp_test_73,orig,tfidf,1,0,2,2,1,1,1,0,1,1.0000,1.0000,8,high,2,nlp4lp_test_73,nlp4lp_test_73,"A scientist is conducting two experiments to produce electricity, experiment alpha and experiment beta. In experiment al"
nlp4lp_test_74,orig,tfidf,1,0,9,9,1,1,1,0,1,1.0000,1.0000,9,high,4+,nlp4lp_test_74,nlp4lp_test_74,"A man fishes in a 250 acre lake and can catch fish either using a net or fishing line. For each acre of the lake, using "
nlp4lp_test_75,orig,tfidf,1,0,9,9,1,1,1,0,1,1.0000,1.0000,9,high,4+,nlp4lp_test_75,nlp4lp_test_75,A coffee shop sells mochas and regular coffees. Each mocha requires 3 units of coffee powder and 6 units of milk. Each r
nlp4lp_test_76,orig,tfidf,1,0,6,6,1,0,0,1,1,1.0000,0.0000,6,high,4+,nlp4lp_test_76,nlp4lp_test_76,"A butcher shop is buying meat slicers for their shop, a manual and automatic slicer. The manual slicer can cut 5 slices "
nlp4lp_test_77,orig,tfidf,1,0,5,5,1,0,1,1,1,1.0000,0.8000,5,medium,4+,nlp4lp_test_77,nlp4lp_test_77,A water company sells water in glass and plastic bottles. A glass bottle can hole 500 ml of water while a plastic bottle
nlp4lp_test_78,orig,tfidf,1,0,7,7,1,0,0,1,1,1.0000,0.7143,7,high,4+,nlp4lp_test_78,nlp4lp_test_78,An Indian restaurant makes goat and chicken curry. Each bowl of goat curry requires 3 units of goat meat and 6 units of 
nlp4lp_test_79,orig,tfidf,1,0,6,6,1,0,0,1,1,1.0000,0.6667,6,high,4+,nlp4lp_test_79,nlp4lp_test_79,An accounting firm employs part time workers and full time workers. Full time workers work 8 hours per shift while part 
nlp4lp_test_80,orig,tfidf,1,0,8,8,1,0,1,1,1,1.0000,0.8750,8,high,4+,nlp4lp_test_80,nlp4lp_test_80,"A factory has two machines, A and B. Each day, machine A can make 30 items and consumes 100 kWh. Machine B can make 50 i"
nlp4lp_test_81,orig,tfidf,1,0,3,3,1,1,1,0,1,1.0000,1.0000,6,high,3,nlp4lp_test_81,nlp4lp_test_81,"A toy company can build two factory types, a medium sized factory and a small factory. A medium sized factory can make 5"
